n,k,m,l,p,s,PeerNomination,PN_dist,PN_step,PN_maj,ExactDollarPartition
120,20,7,4,0.5,1000,4.231,8.114,4.884,4.673,5.074
120,20,7,4,0.6,1000,6.891,10.965,8.112,7.851,8.14
120,20,7,4,0.7,1000,9.704,12.969,11.377,11.149,10.839
120,20,7,4,0.8,1000,12.188,14.1,13.701,13.637,12.43
120,20,7,4,0.9,1000,14.369,14.795,15.474,15.635,13.869
120,20,7,4,1.0,1000,16.189,15.378,16.606,16.967,15.822
120,20,8,4,0.5,1000,5.433,7.827,4.964,4.934,5.189
120,20,8,4,0.6,1000,8.255,11.309,8.005,8.02,8.518
120,20,8,4,0.7,1000,10.996,13.409,11.005,11.062,10.965
120,20,8,4,0.8,1000,13.291,14.459,13.367,13.379,12.742
120,20,8,4,0.9,1000,15.141,15.07,15.134,15.122,14.168
120,20,8,4,1.0,1000,16.598,15.593,16.389,16.43,16.092
120,20,9,4,0.5,1000,4.277,7.529,6.735,5.876,5.126
120,20,9,4,0.6,1000,7.324,11.317,10.909,10.051,8.768
120,20,9,4,0.7,1000,10.365,13.543,13.623,13.101,11.31
120,20,9,4,0.8,1000,13.137,14.778,15.036,14.733,12.908
120,20,9,4,0.9,1000,15.302,15.287,15.877,15.784,14.175
120,20,9,4,1.0,1000,16.782,15.624,16.821,16.672,15.926
120,20,10,4,0.5,1000,5.406,8.182,6.292,5.116,5.374
120,20,10,4,0.6,1000,8.531,12.392,10.534,9.13,9.042
120,20,10,4,0.7,1000,11.645,14.799,13.206,12.468,11.616
120,20,10,4,0.8,1000,14.128,15.864,14.452,14.158,13.242
120,20,10,4,0.9,1000,15.98,16.386,15.433,15.333,14.714
120,20,10,4,1.0,1000,17.275,16.792,16.486,16.394,16.404
120,25,7,4,0.5,1000,5.987,10.044,8.84,8.71,7.259
120,25,7,4,0.6,1000,9.352,14.247,13.558,13.093,11.151
120,25,7,4,0.7,1000,13.013,17.132,16.963,16.401,14.735
120,25,7,4,0.8,1000,16.246,18.275,18.71,18.067,16.996
120,25,7,4,0.9,1000,18.87,18.959,19.687,19.134,18.702
120,25,7,4,1.0,1000,20.907,19.602,20.75,20.332,20.541
120,25,8,4,0.5,1000,7.724,10.625,7.907,7.887,7.232
120,25,8,4,0.6,1000,11.3,15.259,12.547,12.603,11.611
120,25,8,4,0.7,1000,14.764,18.038,15.837,15.847,14.962
120,25,8,4,0.8,1000,17.642,19.317,17.473,17.544,17.362
120,25,8,4,0.9,1000,19.857,20.025,18.619,18.589,18.999
120,25,8,4,1.0,1000,21.347,20.551,19.52,19.519,20.8
120,25,9,4,0.5,1000,6.566,10.455,9.325,8.37,7.277
120,25,9,4,0.6,1000,10.865,15.551,14.562,13.747,11.889
120,25,9,4,0.7,1000,14.7,18.372,17.601,17.204,15.36
120,25,9,4,0.8,1000,18.019,19.605,19.344,19.165,17.401
120,25,9,4,0.9,1000,20.199,20.216,20.442,20.4,18.971
120,25,9,4,1.0,1000,21.655,20.791,21.562,21.542,20.567
120,25,10,4,0.5,1000,8.135,11.123,8.225,8.061,7.351
120,25,10,4,0.6,1000,12.198,16.549,13.643,13.245,12.122
120,25,10,4,0.7,1000,16.132,19.303,17.874,17.149,15.754
120,25,10,4,0.8,1000,18.971,20.445,20.013,19.332,17.867
120,25,10,4,0.9,1000,20.873,21.016,20.967,20.642,19.677
120,25,10,4,1.0,1000,22.186,21.487,21.798,21.741,21.223
120,30,7,4,0.5,1000,8.114,12.753,11.569,11.39,9.654
120,30,7,4,0.6,1000,12.609,18.42,17.581,17.181,14.535
120,30,7,4,0.7,1000,16.96,21.637,21.447,20.942,18.728
120,30,7,4,0.8,1000,20.902,23.081,23.687,23.228,21.704
120,30,7,4,0.9,1000,23.751,23.76,25.054,24.774,23.592
120,30,7,4,1.0,1000,25.783,24.691,26.315,26.162,25.404
120,30,8,4,0.5,1000,10.483,13.346,10.184,10.154,9.419
120,30,8,4,0.6,1000,15.334,19.479,15.94,15.936,15.013
120,30,8,4,0.7,1000,19.417,22.826,19.643,19.611,19.172
120,30,8,4,0.8,1000,22.557,24.054,21.387,21.375,22.048
120,30,8,4,0.9,1000,24.773,24.778,22.507,22.496,23.946
120,30,8,4,1.0,1000,26.395,25.591,23.962,23.954,25.583
120,30,9,4,0.5,1000,8.19,12.547,10.595,10.461,9.621
120,30,9,4,0.6,1000,13.295,19.287,17.794,17.441,15.366
120,30,9,4,0.7,1000,18.247,22.638,23.014,22.263,19.752
120,30,9,4,0.8,1000,21.922,23.659,25.144,24.541,22.314
120,30,9,4,0.9,1000,24.682,24.336,26.073,25.863,23.934
120,30,9,4,1.0,1000,26.107,24.856,26.584,26.692,25.341
120,30,10,4,0.5,1000,10.094,13.023,9.776,9.585,9.635
120,30,10,4,0.6,1000,15.391,20.677,17.16,16.689,15.738
120,30,10,4,0.7,1000,19.79,23.633,22.288,21.554,20.049
120,30,10,4,0.8,1000,23.093,24.762,24.624,23.987,22.717
120,30,10,4,0.9,1000,25.334,25.444,25.617,25.292,24.562
120,30,10,4,1.0,1000,26.796,26.054,26.332,26.358,25.97
