n,k,m,l,p,s,PN_dist,ExactDollarPartition
120,20,7,4,0.5,1000,7.918,5.023
120,20,7,4,0.6,1000,10.911,8.14
120,20,7,4,0.7,1000,12.834,10.511
120,20,7,4,0.8,1000,14.151,12.375
120,20,7,4,0.9,1000,14.839,14.053
120,20,7,4,1.0,1000,15.309,16.014
120,20,8,4,0.5,1000,7.765,4.912
120,20,8,4,0.6,1000,11.195,8.206
120,20,8,4,0.7,1000,13.328,10.564
120,20,8,4,0.8,1000,14.608,12.499
120,20,8,4,0.9,1000,15.136,14.163
120,20,8,4,1.0,1000,15.569,16.287
120,20,9,4,0.5,1000,7.455,4.855
120,20,9,4,0.6,1000,11.224,8.149
120,20,9,4,0.7,1000,13.578,10.698
120,20,9,4,0.8,1000,14.718,12.454
120,20,9,4,0.9,1000,15.326,14.06
120,20,9,4,1.0,1000,15.669,15.968
120,20,10,4,0.5,1000,8.053,4.913
120,20,10,4,0.6,1000,12.306,8.657
120,20,10,4,0.7,1000,14.72,11.204
120,20,10,4,0.8,1000,15.816,13.178
120,20,10,4,0.9,1000,16.382,15.07
120,20,10,4,1.0,1000,16.722,16.864
120,25,7,4,0.5,1000,10.076,7.243
120,25,7,4,0.6,1000,14.266,11.049
120,25,7,4,0.7,1000,16.976,14.443
120,25,7,4,0.8,1000,18.32,16.75
120,25,7,4,0.9,1000,19.122,18.767
120,25,7,4,1.0,1000,19.522,20.907
120,25,8,4,0.5,1000,10.401,7.234
120,25,8,4,0.6,1000,15.345,11.524
120,25,8,4,0.7,1000,18.075,14.756
120,25,8,4,0.8,1000,19.221,17.124
120,25,8,4,0.9,1000,20.076,19.284
120,25,8,4,1.0,1000,20.567,21.478
120,25,9,4,0.5,1000,10.441,7.136
120,25,9,4,0.6,1000,15.616,11.687
120,25,9,4,0.7,1000,18.403,15.015
120,25,9,4,0.8,1000,19.659,17.239
120,25,9,4,0.9,1000,20.166,19.076
120,25,9,4,1.0,1000,20.827,21.01
120,25,10,4,0.5,1000,10.891,7.194
120,25,10,4,0.6,1000,16.632,11.983
120,25,10,4,0.7,1000,19.311,15.327
120,25,10,4,0.8,1000,20.475,17.734
120,25,10,4,0.9,1000,21.001,19.639
120,25,10,4,1.0,1000,21.442,21.373
120,30,7,4,0.5,1000,12.755,9.815
120,30,7,4,0.6,1000,18.34,14.581
120,30,7,4,0.7,1000,21.578,18.58
120,30,7,4,0.8,1000,23.133,21.439
120,30,7,4,0.9,1000,23.907,23.761
120,30,7,4,1.0,1000,24.646,25.859
120,30,8,4,0.5,1000,13.411,9.555
120,30,8,4,0.6,1000,19.58,14.865
120,30,8,4,0.7,1000,22.755,18.926
120,30,8,4,0.8,1000,23.957,21.7
120,30,8,4,0.9,1000,24.977,23.936
120,30,8,4,1.0,1000,25.575,25.972
120,30,9,4,0.5,1000,12.469,9.343
120,30,9,4,0.6,1000,19.251,14.783
120,30,9,4,0.7,1000,22.604,19.033
120,30,9,4,0.8,1000,23.773,21.671
120,30,9,4,0.9,1000,24.401,23.583
120,30,9,4,1.0,1000,24.793,25.096
120,30,10,4,0.5,1000,13.007,9.355
120,30,10,4,0.6,1000,20.519,15.344
120,30,10,4,0.7,1000,23.711,19.734
120,30,10,4,0.8,1000,24.835,22.526
120,30,10,4,0.9,1000,25.599,24.715
120,30,10,4,1.0,1000,26.061,26.3
