n,k,m,l,p,s,PN_dist,ExactDollarPartition
120,20,7,4,0.2,1000,7.226,6.971
120,20,7,4,0.4,1000,11.077,9.965
120,20,7,4,0.6,1000,13.315,12.06
120,20,7,4,0.8,1000,14.417,13.943
120,20,7,4,1.0,1000,14.996,15.775
120,20,8,4,0.2,1000,7.239,6.519
120,20,8,4,0.4,1000,11.616,9.76
120,20,8,4,0.6,1000,13.822,12.262
120,20,8,4,0.8,1000,14.844,14.151
120,20,8,4,1.0,1000,15.364,15.864
120,20,9,4,0.2,1000,7.218,6.038
120,20,9,4,0.4,1000,12.103,9.732
120,20,9,4,0.6,1000,14.271,12.317
120,20,9,4,0.8,1000,15.119,14.006
120,20,9,4,1.0,1000,15.543,15.753
120,20,10,4,0.2,1000,7.593,6.107
120,20,10,4,0.4,1000,13.006,10.29
120,20,10,4,0.6,1000,15.198,13.003
120,20,10,4,0.8,1000,16.099,14.952
120,20,10,4,1.0,1000,16.637,16.504
120,25,7,4,0.2,1000,10.282,10.107
120,25,7,4,0.4,1000,15.102,14.011
120,25,7,4,0.6,1000,17.499,16.714
120,25,7,4,0.8,1000,18.775,18.812
120,25,7,4,1.0,1000,19.365,20.519
120,25,8,4,0.2,1000,10.725,9.949
120,25,8,4,0.4,1000,16.113,14.177
120,25,8,4,0.6,1000,18.649,17.099
120,25,8,4,0.8,1000,19.677,19.222
120,25,8,4,1.0,1000,20.291,20.952
120,25,9,4,0.2,1000,11.234,9.896
120,25,9,4,0.4,1000,16.771,14.32
120,25,9,4,0.6,1000,19.17,17.046
120,25,9,4,0.8,1000,20.076,19.038
120,25,9,4,1.0,1000,20.63,20.58
120,25,10,4,0.2,1000,11.678,10.051
120,25,10,4,0.4,1000,17.874,14.748
120,25,10,4,0.6,1000,19.942,17.616
120,25,10,4,0.8,1000,20.74,19.568
120,25,10,4,1.0,1000,21.158,21.017
120,30,7,4,0.2,1000,14.088,13.92
120,30,7,4,0.4,1000,19.528,18.374
120,30,7,4,0.6,1000,22.503,21.485
120,30,7,4,0.8,1000,23.679,23.709
120,30,7,4,1.0,1000,24.502,25.577
120,30,8,4,0.2,1000,14.943,14.157
120,30,8,4,0.4,1000,20.832,18.665
120,30,8,4,0.6,1000,23.588,21.862
120,30,8,4,0.8,1000,24.716,23.991
120,30,8,4,1.0,1000,25.308,25.624
120,30,9,4,0.2,1000,14.838,13.449
120,30,9,4,0.4,1000,21.232,18.536
120,30,9,4,0.6,1000,23.515,21.64
120,30,9,4,0.8,1000,24.179,23.406
120,30,9,4,1.0,1000,24.646,24.765
120,30,10,4,0.2,1000,15.702,13.62
120,30,10,4,0.4,1000,22.625,19.312
120,30,10,4,0.6,1000,24.662,22.557
120,30,10,4,0.8,1000,25.374,24.573
120,30,10,4,1.0,1000,25.816,25.787
