n,k,m,l,p,s,PeerNomination,PN_dist,PN_step,PN_maj,ExactDollarPartition
120,20,7,4,0.2,1000,2.561,7.107,2.77,2.928,7.242
120,20,7,4,0.4,1000,6.273,11.036,7.363,7.176,10.336
120,20,7,4,0.6,1000,10.535,13.306,12.123,11.852,12.519
120,20,7,4,0.8,1000,13.997,14.454,15.293,15.176,14.216
120,20,7,4,1.0,1000,16.311,15.017,16.892,17.033,15.946
120,20,8,4,0.2,1000,3.116,7.224,3.011,3.03,7.573
120,20,8,4,0.4,1000,7.289,11.593,7.158,7.216,10.665
120,20,8,4,0.6,1000,11.698,13.905,11.798,11.769,12.813
120,20,8,4,0.8,1000,14.702,14.788,14.821,14.854,14.48
120,20,8,4,1.0,1000,16.557,15.292,16.488,16.511,16.171
120,20,9,4,0.2,1000,2.18,7.179,4.107,3.66,7.827
120,20,9,4,0.4,1000,6.32,12.042,10.233,9.427,10.937
120,20,9,4,0.6,1000,11.242,14.252,13.939,13.504,12.826
120,20,9,4,0.8,1000,14.968,14.985,15.619,15.514,14.428
120,20,9,4,1.0,1000,16.846,15.53,16.647,16.606,15.985
120,20,10,4,0.2,1000,2.587,7.636,3.426,2.899,8.057
120,20,10,4,0.4,1000,7.219,12.882,9.796,8.185,11.184
120,20,10,4,0.6,1000,12.283,15.268,13.299,12.617,13.475
120,20,10,4,0.8,1000,15.465,16.154,14.957,14.865,14.939
120,20,10,4,1.0,1000,17.162,16.603,16.352,16.292,16.441
120,25,7,4,0.2,1000,4.523,10.391,7.774,7.655,10.451
120,25,7,4,0.4,1000,9.339,15.082,13.396,13.152,14.279
120,25,7,4,0.6,1000,14.473,17.638,17.364,16.794,16.862
120,25,7,4,0.8,1000,18.509,18.805,19.228,18.64,18.887
120,25,7,4,1.0,1000,20.923,19.432,20.554,19.992,20.599
120,25,8,4,0.2,1000,5.351,10.716,5.917,5.935,10.666
120,25,8,4,0.4,1000,10.94,16.282,12.4,12.429,14.687
120,25,8,4,0.6,1000,15.924,18.748,15.978,16.003,17.21
120,25,8,4,0.8,1000,19.286,19.684,17.965,18.021,19.091
120,25,8,4,1.0,1000,21.228,20.332,19.382,19.445,20.793
120,25,9,4,0.2,1000,4.157,11.169,8.471,6.91,11.132
120,25,9,4,0.4,1000,10.115,16.876,15.071,13.835,14.849
120,25,9,4,0.6,1000,16.228,19.257,18.5,18.178,17.357
120,25,9,4,0.8,1000,19.924,20.08,20.235,20.161,19.119
120,25,9,4,1.0,1000,21.564,20.738,21.485,21.49,20.578
120,25,10,4,0.2,1000,5.048,11.903,5.784,6.216,11.342
120,25,10,4,0.4,1000,11.624,17.984,13.529,13.489,15.507
120,25,10,4,0.6,1000,17.264,19.963,18.593,18.033,17.967
120,25,10,4,0.8,1000,20.476,20.836,20.65,20.272,19.834
120,25,10,4,1.0,1000,21.945,21.092,21.595,21.51,21.167
120,30,7,4,0.2,1000,6.923,13.894,11.911,11.75,13.696
120,30,7,4,0.4,1000,13.152,19.644,18.431,18.171,18.381
120,30,7,4,0.6,1000,19.227,22.451,22.436,22.036,21.51
120,30,7,4,0.8,1000,23.571,23.899,24.8,24.455,23.743
120,30,7,4,1.0,1000,25.803,24.447,26.158,26.042,25.353
120,30,8,4,0.2,1000,8.642,14.701,9.174,9.191,14.095
120,30,8,4,0.4,1000,15.615,20.91,16.402,16.393,18.838
120,30,8,4,0.6,1000,21.198,23.563,20.125,20.141,22.008
120,30,8,4,0.8,1000,24.375,24.508,22.1,22.114,23.973
120,30,8,4,1.0,1000,26.125,25.339,24.018,24.021,25.683
120,30,9,4,0.2,1000,6.535,14.701,9.612,10.155,14.466
120,30,9,4,0.4,1000,13.737,21.279,18.258,18.311,19.22
120,30,9,4,0.6,1000,20.43,23.468,23.754,23.374,22.214
120,30,9,4,0.8,1000,24.305,24.184,25.687,25.645,23.954
120,30,9,4,1.0,1000,26.013,24.714,26.485,26.626,25.181
120,30,10,4,0.2,1000,7.83,15.525,8.317,8.694,14.76
120,30,10,4,0.4,1000,15.451,22.575,17.462,17.471,19.708
120,30,10,4,0.6,1000,21.794,24.616,23.139,22.771,22.719
120,30,10,4,0.8,1000,25.008,25.394,25.201,25.179,24.62
120,30,10,4,1.0,1000,26.713,25.871,26.367,26.552,25.888
